Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
1.000000	17.1023   	17.0977   	17.0135   	17.0135   	0.318982  	0.28443   	0.391351  	0.433397  	0.389241  
1.025000	17.7604   	17.7557   	17.6645   	17.6645   	0.331679  	0.294073  	0.404932  	0.44802   	0.40287   
1.050000	18.4185   	18.4136   	18.3156   	18.3156   	0.344376  	0.303715  	0.418513  	0.462642  	0.416499  
1.075000	19.0766   	19.0715   	18.9666   	18.9666   	0.357072  	0.313358  	0.432094  	0.477264  	0.430128  
1.100000	19.7347   	19.7295   	19.6176   	19.6176   	0.369769  	0.323001  	0.445675  	0.491887  	0.443757  
1.125000	20.3928   	20.3874   	20.2686   	20.2686   	0.382466  	0.332644  	0.459255  	0.506509  	0.457385  
1.150000	21.0509   	21.0453   	20.9197   	20.9197   	0.395163  	0.342286  	0.472836  	0.521131  	0.471014  
1.175000	21.709    	21.7033   	21.5707   	21.5707   	0.407859  	0.351929  	0.486417  	0.535754  	0.484643  
1.200000	22.3671   	22.3612   	22.2217   	22.2217   	0.420556  	0.361572  	0.499998  	0.550376  	0.498272  
1.225000	23.0252   	23.0191   	22.8728   	22.8728   	0.433253  	0.371214  	0.513579  	0.564998  	0.511901  
1.250000	23.6833   	23.677    	23.5238   	23.5238   	0.44595   	0.380857  	0.52716   	0.579621  	0.52553   
1.275000	24.4202   	24.4138   	24.2534   	24.2534   	0.460171  	0.391297  	0.542058  	0.595444  	0.540507  
1.300000	25.1571   	25.1505   	24.9831   	24.9831   	0.474392  	0.401737  	0.556956  	0.611267  	0.555485  
1.325000	25.894    	25.8872   	25.7128   	25.7128   	0.488614  	0.412177  	0.571855  	0.62709   	0.570462  
1.350000	26.6309   	26.6239   	26.4424   	26.4424   	0.502835  	0.422618  	0.586753  	0.642913  	0.58544   
1.375000	27.3678   	27.3606   	27.1721   	27.1721   	0.517056  	0.433058  	0.601651  	0.658736  	0.600417  
1.400000	28.1047   	28.0973   	27.9018   	27.9018   	0.531278  	0.443498  	0.616549  	0.674559  	0.615395  
1.425000	28.8416   	28.834    	28.6314   	28.6314   	0.545499  	0.453938  	0.631448  	0.690382  	0.630373  
1.450000	29.5785   	29.5707   	29.3611   	29.3611   	0.55972   	0.464378  	0.646346  	0.706205  	0.64535   
1.475000	30.3155   	30.3074   	30.0907   	30.0907   	0.573942  	0.474818  	0.661244  	0.722028  	0.660328  
1.500000	31.0524   	31.0441   	30.8204   	30.8204   	0.588163  	0.485258  	0.676143  	0.737851  	0.675305  
1.525000	31.8638   	31.8553   	31.6247   	31.6247   	0.603835  	0.496452  	0.692306  	0.754821  	0.691584  
1.550000	32.6752   	32.6665   	32.4289   	32.4289   	0.619508  	0.507646  	0.708468  	0.771791  	0.707862  
1.575000	33.4866   	33.4777   	33.2332   	33.2332   	0.63518   	0.518839  	0.724631  	0.788761  	0.72414   
1.600000	34.298    	34.289    	34.0375   	34.0375   	0.650852  	0.530033  	0.740794  	0.805732  	0.740419  
1.625000	35.1095   	35.1002   	34.8418   	34.8418   	0.666525  	0.541227  	0.756957  	0.822702  	0.756697  
1.650000	35.9209   	35.9114   	35.646    	35.646    	0.682197  	0.552421  	0.77312   	0.839672  	0.772976  
1.675000	36.7323   	36.7226   	36.4503   	36.4503   	0.697869  	0.563614  	0.789283  	0.856643  	0.789254  
1.700000	37.5437   	37.5338   	37.2546   	37.2546   	0.713542  	0.574808  	0.805446  	0.873613  	0.805533  
1.725000	38.3552   	38.345    	38.0589   	38.0589   	0.729214  	0.586002  	0.821608  	0.890583  	0.821811  
1.750000	39.1666   	39.1562   	38.8631   	38.8631   	0.744886  	0.597195  	0.837771  	0.907553  	0.838089  
1.775000	40.0492   	40.0386   	39.7389   	39.7389   	0.761953  	0.609107  	0.855132  	0.925582  	0.855589  
1.800000	40.9318   	40.921    	40.6147   	40.6147   	0.77902   	0.621019  	0.872493  	0.943611  	0.873088  
1.825000	41.8145   	41.8034   	41.4904   	41.4904   	0.796087  	0.632931  	0.889855  	0.96164   	0.890587  
1.850000	42.6971   	42.6858   	42.3662   	42.3662   	0.813153  	0.644843  	0.907216  	0.979668  	0.908087  
1.875000	43.5797   	43.5682   	43.242    	43.242    	0.83022   	0.656755  	0.924577  	0.997697  	0.925586  
1.900000	44.4624   	44.4506   	44.1178   	44.1178   	0.847287  	0.668668  	0.941938  	1.01573   	0.943086  
1.925000	45.345    	45.333    	44.9935   	44.9935   	0.864354  	0.68058   	0.959299  	1.03375   	0.960585  
1.950000	46.2276   	46.2154   	45.8693   	45.8693   	0.881421  	0.692492  	0.97666   	1.05178   	0.978084  
1.975000	47.1103   	47.0978   	46.7451   	46.7451   	0.898487  	0.704404  	0.994021  	1.06981   	0.995584  
2.000000	47.9929   	47.9802   	47.6208   	47.6208   	0.915554  	0.716316  	1.01138   	1.08784   	1.01308   
2.025000	48.9441   	48.9311   	48.5656   	48.5656   	0.933969  	0.728917  	1.02992   	1.10691   	1.03179   
2.050000	49.8952   	49.882    	49.5103   	49.5103   	0.952384  	0.741518  	1.04846   	1.12597   	1.05049   
2.075000	50.8464   	50.8329   	50.455    	50.455    	0.970798  	0.75412   	1.067     	1.14504   	1.0692    
2.100000	51.7975   	51.7838   	51.3997   	51.3997   	0.989213  	0.766721  	1.08553   	1.1641    	1.0879    
2.125000	52.7487   	52.7347   	52.3445   	52.3445   	1.00763   	0.779323  	1.10407   	1.18317   	1.1066    
2.150000	53.6998   	53.6856   	53.2892   	53.2892   	1.02604   	0.791924  	1.12261   	1.20223   	1.12531   
2.175000	54.651    	54.6365   	54.2339   	54.2339   	1.04446   	0.804526  	1.14115   	1.2213    	1.14401   
2.200000	55.6021   	55.5874   	55.1786   	55.1786   	1.06287   	0.817127  	1.15968   	1.24037   	1.16272   
2.225000	56.5533   	56.5383   	56.1234   	56.1234   	1.08129   	0.829729  	1.17822   	1.25943   	1.18142   
2.250000	57.5044   	57.4892   	57.0681   	57.0681   	1.0997    	0.84233   	1.19676   	1.2785    	1.20013   
2.275000	58.5224   	58.5063   	58.0796   	58.0796   	1.11942   	0.855597  	1.21641   	1.29856   	1.21997   
2.300000	59.5404   	59.5234   	59.0912   	59.0912   	1.13915   	0.868864  	1.23607   	1.31862   	1.2398    
2.325000	60.5583   	60.5406   	60.1027   	60.1027   	1.15887   	0.882132  	1.25572   	1.33868   	1.25964   
2.350000	61.5763   	61.5577   	61.1143   	61.1143   	1.17859   	0.895399  	1.27537   	1.35874   	1.27948   
2.375000	62.5943   	62.5749   	62.1258   	62.1258   	1.19832   	0.908666  	1.29503   	1.37881   	1.29932   
2.400000	63.6123   	63.592    	63.1374   	63.1374   	1.21804   	0.921933  	1.31468   	1.39887   	1.31916   
2.425000	64.6302   	64.6092   	64.1489   	64.1489   	1.23776   	0.9352    	1.33433   	1.41893   	1.339     
2.450000	65.6482   	65.6263   	65.1605   	65.1605   	1.25749   	0.948467  	1.35399   	1.43899   	1.35884   
2.475000	66.6662   	66.6435   	66.172    	66.172    	1.27721   	0.961734  	1.37364   	1.45905   	1.37868   
2.500000	67.6842   	67.6606   	67.1836   	67.1836   	1.29693   	0.975002  	1.39329   	1.47911   	1.39852   
2.525000	68.8102   	68.7734   	68.2918   	68.2918   	1.31855   	0.989228  	1.41458   	1.50058   	1.42003   
2.550000	69.9362   	69.8861   	69.4001   	69.4001   	1.34017   	1.00345   	1.43587   	1.52205   	1.44154   
2.575000	71.0623   	70.9989   	70.5083   	70.5083   	1.36179   	1.01768   	1.45716   	1.54352   	1.46305   
2.600000	72.1883   	72.1117   	71.6166   	71.6166   	1.3834    	1.03191   	1.47845   	1.56499   	1.48455   
2.625000	73.3144   	73.2244   	72.7248   	72.7248   	1.40502   	1.04613   	1.49974   	1.58646   	1.50606   
2.650000	74.4404   	74.3372   	73.833    	73.833    	1.42664   	1.06036   	1.52103   	1.60793   	1.52757   
2.675000	75.5664   	75.45     	74.9413   	74.9413   	1.44826   	1.07458   	1.54231   	1.6294    	1.54908   
2.700000	76.6925   	76.5628   	76.0495   	76.0495   	1.46988   	1.08881   	1.5636    	1.65087   	1.57059   
2.725000	77.8185   	77.6755   	77.1577   	77.1577   	1.4915    	1.10304   	1.58489   	1.67234   	1.5921    
2.750000	78.9445   	78.7883   	78.266    	78.266    	1.51311   	1.11726   	1.60618   	1.69381   	1.61361   
2.775000	80.0706   	79.9011   	79.3742   	79.3742   	1.53473   	1.13149   	1.62747   	1.71527   	1.63512   
2.800000	81.1966   	81.0138   	80.4825   	80.4825   	1.55635   	1.14571   	1.64876   	1.73674   	1.65663   
2.825000	82.3226   	82.1266   	81.5907   	81.5907   	1.57797   	1.15994   	1.67005   	1.75821   	1.67814   
2.850000	83.4487   	83.2394   	82.6989   	82.6989   	1.59959   	1.17417   	1.69133   	1.77968   	1.69964   
2.875000	84.5747   	84.3521   	83.8072   	83.8072   	1.62121   	1.18839   	1.71262   	1.80115   	1.72115   
2.900000	85.7007   	85.4649   	84.9154   	84.9154   	1.64282   	1.20262   	1.73391   	1.82262   	1.74266   
2.925000	86.8268   	86.5777   	86.0237   	86.0237   	1.66444   	1.21684   	1.7552    	1.84409   	1.76417   
2.950000	87.9528   	87.6904   	87.1319   	87.1319   	1.68606   	1.23107   	1.77649   	1.86556   	1.78568   
2.975000	89.0789   	88.8032   	88.2401   	88.2401   	1.70768   	1.2453    	1.79778   	1.88703   	1.80719   
3.000000	90.2049   	89.916    	89.3484   	89.3484   	1.7293    	1.25952   	1.81907   	1.9085    	1.8287    
3.025000	91.4473   	91.1511   	90.5806   	90.5806   	1.75335   	1.27497   	1.84243   	1.93176   	1.85232   
3.050000	92.6898   	92.3862   	91.8129   	91.8129   	1.7774    	1.29041   	1.86579   	1.95503   	1.87594   
3.075000	93.9322   	93.6213   	93.0451   	93.0451   	1.80145   	1.30586   	1.88916   	1.9783    	1.89956   
3.100000	95.1746   	94.8564   	94.2774   	94.2774   	1.8255    	1.32131   	1.91252   	2.00156   	1.92318   
3.125000	96.4171   	96.0915   	95.5097   	95.5097   	1.84955   	1.33675   	1.93588   	2.02483   	1.94681   
3.150000	97.6595   	97.3266   	96.7419   	96.7419   	1.8736    	1.3522    	1.95925   	2.04809   	1.97043   
3.175000	98.902    	98.5617   	97.9742   	97.9742   	1.89766   	1.36765   	1.98261   	2.07136   	1.99405   
3.200000	100.144   	99.7968   	99.2064   	99.2064   	1.92171   	1.38309   	2.00597   	2.09463   	2.01767   
3.225000	101.387   	101.032   	100.439   	100.439   	1.94576   	1.39854   	2.02934   	2.11789   	2.04129   
3.250000	102.629   	102.267   	101.671   	101.671   	1.96981   	1.41399   	2.0527    	2.14116   	2.06491   
3.275000	103.872   	103.502   	102.903   	102.903   	1.99386   	1.42943   	2.07607   	2.16443   	2.08854   
3.300000	105.114   	104.737   	104.135   	104.135   	2.01791   	1.44488   	2.09943   	2.18769   	2.11216   
3.325000	106.357   	105.972   	105.368   	105.368   	2.04196   	1.46033   	2.12279   	2.21096   	2.13578   
3.350000	107.599   	107.207   	106.6     	106.6     	2.06601   	1.47577   	2.14616   	2.23422   	2.1594    
3.375000	108.841   	108.442   	107.832   	107.832   	2.09006   	1.49122   	2.16952   	2.25749   	2.18302   
3.400000	110.084   	109.678   	109.064   	109.064   	2.11412   	1.50667   	2.19288   	2.28076   	2.20664   
3.425000	111.326   	110.913   	110.297   	110.297   	2.13817   	1.52211   	2.21625   	2.30402   	2.23026   
3.450000	112.569   	112.148   	111.529   	111.529   	2.16222   	1.53756   	2.23961   	2.32729   	2.25389   
3.475000	113.811   	113.383   	112.761   	112.761   	2.18627   	1.55301   	2.26297   	2.35056   	2.27751   
3.500000	115.054   	114.618   	113.993   	113.993   	2.21032   	1.56845   	2.28634   	2.37382   	2.30113   
3.525000	116.409   	115.97    	115.345   	115.345   	2.23671   	1.58506   	2.3117    	2.3988    	2.32679   
3.550000	117.764   	117.323   	116.696   	116.696   	2.2631    	1.60167   	2.33707   	2.42378   	2.35246   
3.575000	119.12    	118.675   	118.048   	118.048   	2.28949   	1.61828   	2.36244   	2.44876   	2.37812   
3.600000	120.475   	120.027   	119.399   	119.399   	2.31588   	1.63488   	2.3878    	2.47373   	2.40378   
3.625000	121.83    	121.38    	120.75    	120.75    	2.34227   	1.65149   	2.41317   	2.49871   	2.42945   
3.650000	123.186   	122.732   	122.102   	122.102   	2.36865   	1.6681    	2.43854   	2.52369   	2.45511   
3.675000	124.541   	124.084   	123.453   	123.453   	2.39504   	1.68471   	2.4639    	2.54867   	2.48078   
3.700000	125.896   	125.436   	124.805   	124.805   	2.42143   	1.70132   	2.48927   	2.57365   	2.50644   
3.725000	127.251   	126.789   	126.156   	126.156   	2.44782   	1.71792   	2.51464   	2.59862   	2.5321    
3.750000	128.607   	128.141   	127.508   	127.508   	2.47421   	1.73453   	2.54001   	2.6236    	2.55777   
3.775000	129.962   	129.493   	128.859   	128.859   	2.5006    	1.75114   	2.56537   	2.64858   	2.58343   
3.800000	131.317   	130.846   	130.21    	130.21    	2.52699   	1.76775   	2.59074   	2.67356   	2.6091    
3.825000	132.673   	132.198   	131.562   	131.562   	2.55338   	1.78435   	2.61611   	2.69853   	2.63476   
3.850000	134.028   	133.55    	132.913   	132.913   	2.57977   	1.80096   	2.64147   	2.72351   	2.66042   
3.875000	135.383   	134.903   	134.265   	134.265   	2.60615   	1.81757   	2.66684   	2.74849   	2.68609   
3.900000	136.739   	136.255   	135.616   	135.616   	2.63254   	1.83418   	2.69221   	2.77347   	2.71175   
3.925000	138.094   	137.607   	136.967   	136.967   	2.65893   	1.85079   	2.71757   	2.79845   	2.73741   
3.950000	139.449   	138.96    	138.319   	138.319   	2.68532   	1.86739   	2.74294   	2.82342   	2.76308   
3.975000	140.805   	140.312   	139.67    	139.67    	2.71171   	1.884     	2.76831   	2.8484    	2.78874   
4.000000	142.16    	141.664   	141.022   	141.022   	2.7381    	1.90061   	2.79367   	2.87338   	2.81441   
4.025000	143.625   	143.13    	142.488   	142.488   	2.76675   	1.91833   	2.82096   	2.89999   	2.84202   
4.050000	145.09    	144.595   	143.955   	143.955   	2.79539   	1.93605   	2.84824   	2.92659   	2.86963   
4.075000	146.556   	146.06    	145.421   	145.421   	2.82404   	1.95377   	2.87553   	2.9532    	2.89724   
4.100000	148.021   	147.525   	146.888   	146.888   	2.85269   	1.97149   	2.90281   	2.9798    	2.92485   
4.125000	149.486   	148.991   	148.354   	148.354   	2.88134   	1.98921   	2.9301    	3.00641   	2.95246   
4.150000	150.951   	150.456   	149.821   	149.821   	2.90998   	2.00693   	2.95739   	3.03302   	2.98007   
4.175000	152.416   	151.921   	151.287   	151.287   	2.93863   	2.02465   	2.98467   	3.05962   	3.00768   
4.200000	153.882   	153.387   	152.754   	152.754   	2.96728   	2.04237   	3.01196   	3.08623   	3.03529   
4.225000	155.347   	154.852   	154.22    	154.22    	2.99592   	2.06009   	3.03924   	3.11284   	3.0629    
4.250000	156.812   	156.317   	155.687   	155.687   	3.02457   	2.07781   	3.06653   	3.13944   	3.09051   
4.275000	158.277   	157.782   	157.153   	157.153   	3.05322   	2.09553   	3.09381   	3.16605   	3.11812   
4.300000	159.742   	159.248   	158.62    	158.62    	3.08187   	2.11324   	3.1211    	3.19265   	3.14573   
4.325000	161.208   	160.713   	160.086   	160.086   	3.11051   	2.13096   	3.14838   	3.21926   	3.17335   
4.350000	162.673   	162.178   	161.553   	161.553   	3.13916   	2.14868   	3.17567   	3.24587   	3.20096   
4.375000	164.138   	163.644   	163.019   	163.019   	3.16781   	2.1664    	3.20295   	3.27247   	3.22857   
4.400000	165.603   	165.109   	164.486   	164.486   	3.19646   	2.18412   	3.23024   	3.29908   	3.25618   
4.425000	167.068   	166.574   	165.952   	165.952   	3.2251    	2.20184   	3.25752   	3.32568   	3.28379   
4.450000	168.534   	168.04    	167.419   	167.419   	3.25375   	2.21956   	3.28481   	3.35229   	3.3114    
4.475000	169.999   	169.505   	168.885   	168.885   	3.2824    	2.23728   	3.3121    	3.3789    	3.33901   
4.500000	171.464   	170.97    	170.352   	170.352   	3.31104   	2.255     	3.33938   	3.4055    	3.36662   
4.525000	173.036   	172.545   	171.93    	171.93    	3.34188   	2.27379   	3.36854   	3.43367   	3.39613   
4.550000	174.609   	174.12    	173.508   	173.508   	3.37272   	2.29258   	3.39769   	3.46183   	3.42564   
4.575000	176.181   	175.694   	175.087   	175.087   	3.40356   	2.31137   	3.42685   	3.49      	3.45516   
4.600000	177.754   	177.269   	176.665   	176.665   	3.43439   	2.33016   	3.45601   	3.51816   	3.48467   
4.625000	179.326   	178.844   	178.243   	178.243   	3.46523   	2.34895   	3.48516   	3.54633   	3.51418   
4.650000	180.899   	180.418   	179.821   	179.821   	3.49607   	2.36774   	3.51432   	3.57449   	3.54369   
4.675000	182.471   	181.993   	181.4     	181.4     	3.52691   	2.38652   	3.54348   	3.60266   	3.5732    
4.700000	184.044   	183.568   	182.978   	182.978   	3.55774   	2.40531   	3.57263   	3.63082   	3.60272   
4.725000	185.616   	185.142   	184.556   	184.556   	3.58858   	2.4241    	3.60179   	3.65899   	3.63223   
4.750000	187.189   	186.717   	186.134   	186.134   	3.61942   	2.44289   	3.63095   	3.68715   	3.66174   
4.775000	188.761   	188.292   	187.712   	187.712   	3.65026   	2.46168   	3.6601    	3.71532   	3.69125   
4.800000	190.334   	189.866   	189.291   	189.291   	3.68109   	2.48047   	3.68926   	3.74348   	3.72077   
4.825000	191.906   	191.441   	190.869   	190.869   	3.71193   	2.49926   	3.71842   	3.77165   	3.75028   
4.850000	193.479   	193.016   	192.447   	192.447   	3.74277   	2.51805   	3.74757   	3.79981   	3.77979   
4.875000	195.051   	194.59    	194.025   	194.025   	3.7736    	2.53684   	3.77673   	3.82798   	3.8093    
4.900000	196.624   	196.165   	195.604   	195.604   	3.80444   	2.55563   	3.80589   	3.85614   	3.83881   
4.925000	198.196   	197.74    	197.182   	197.182   	3.83528   	2.57441   	3.83504   	3.88431   	3.86833   
4.950000	199.769   	199.315   	198.76    	198.76    	3.86612   	2.5932    	3.8642    	3.91247   	3.89784   
4.975000	201.341   	200.889   	200.338   	200.338   	3.89695   	2.61199   	3.89336   	3.94064   	3.92735   
5.000000	202.914   	202.464   	201.916   	201.916   	3.92779   	2.63078   	3.92251   	3.96881   	3.95686   
5.025000	204.591   	204.145   	203.603   	203.603   	3.96076   	2.6506    	3.95346   	3.99849   	3.98821   
5.050000	206.269   	205.826   	205.29    	205.29    	3.99373   	2.67043   	3.98442   	4.02818   	4.01955   
5.075000	207.946   	207.507   	206.977   	206.977   	4.0267    	2.69025   	4.01537   	4.05787   	4.0509    
5.100000	209.624   	209.188   	208.664   	208.664   	4.05966   	2.71007   	4.04632   	4.08756   	4.08225   
5.125000	211.301   	210.869   	210.351   	210.351   	4.09263   	2.72989   	4.07727   	4.11725   	4.11359   
5.150000	212.979   	212.55    	212.038   	212.038   	4.1256    	2.74971   	4.10822   	4.14694   	4.14494   
5.175000	214.656   	214.231   	213.725   	213.725   	4.15857   	2.76953   	4.13918   	4.17663   	4.17629   
5.200000	216.334   	215.912   	215.412   	215.412   	4.19154   	2.78936   	4.17013   	4.20632   	4.20763   
5.225000	218.011   	217.593   	217.099   	217.099   	4.22451   	2.80918   	4.20108   	4.23601   	4.23898   
5.250000	219.689   	219.274   	218.786   	218.786   	4.25747   	2.829     	4.23203   	4.2657    	4.27032   
5.275000	221.367   	220.955   	220.473   	220.473   	4.29044   	2.84882   	4.26298   	4.29539   	4.30167   
5.300000	223.044   	222.636   	222.16    	222.16    	4.32341   	2.86864   	4.29394   	4.32507   	4.33302   
5.325000	224.722   	224.317   	223.847   	223.847   	4.35638   	2.88846   	4.32489   	4.35476   	4.36436   
5.350000	226.399   	225.998   	225.534   	225.534   	4.38935   	2.90829   	4.35584   	4.38445   	4.39571   
5.375000	228.077   	227.679   	227.221   	227.221   	4.42232   	2.92811   	4.38679   	4.41414   	4.42705   
5.400000	229.754   	229.36    	228.908   	228.908   	4.45528   	2.94793   	4.41774   	4.44383   	4.4584    
5.425000	231.432   	231.041   	230.595   	230.595   	4.48825   	2.96775   	4.4487    	4.47352   	4.48975   
5.450000	233.109   	232.722   	232.282   	232.282   	4.52122   	2.98757   	4.47965   	4.50321   	4.52109   
5.475000	234.787   	234.403   	233.969   	233.969   	4.55419   	3.00739   	4.5106    	4.5329    	4.55244   
5.500000	236.464   	236.084   	235.656   	235.656   	4.58716   	3.02722   	4.54155   	4.56259   	4.58378   
5.525000	238.245   	237.868   	237.449   	237.449   	4.62221   	3.04804   	4.57427   	4.59372   	4.61692   
5.550000	240.025   	239.653   	239.242   	239.242   	4.65725   	3.06886   	4.60699   	4.62486   	4.65005   
5.575000	241.806   	241.437   	241.035   	241.035   	4.6923    	3.08968   	4.63971   	4.65599   	4.68318   
5.600000	243.586   	243.222   	242.828   	242.828   	4.72735   	3.11051   	4.67243   	4.68713   	4.71631   
5.625000	245.367   	245.007   	244.621   	244.621   	4.76239   	3.13133   	4.70515   	4.71826   	4.74944   
5.650000	247.147   	246.791   	246.414   	246.414   	4.79744   	3.15215   	4.73787   	4.7494    	4.78257   
5.675000	248.928   	248.576   	248.208   	248.208   	4.83249   	3.17297   	4.77059   	4.78053   	4.8157    
5.700000	250.708   	250.36    	250.001   	250.001   	4.86753   	3.1938    	4.80331   	4.81167   	4.84884   
5.725000	252.489   	252.145   	251.794   	251.794   	4.90258   	3.21462   	4.83603   	4.8428    	4.88197   
5.750000	254.269   	253.929   	253.587   	253.587   	4.93763   	3.23544   	4.86874   	4.87394   	4.9151    
5.775000	256.05    	255.714   	255.38    	255.38    	4.97268   	3.25626   	4.90146   	4.90507   	4.94823   
5.800000	257.83    	257.499   	257.173   	257.173   	5.00772   	3.27708   	4.93418   	4.93621   	4.98136   
5.825000	259.611   	259.283   	258.966   	258.966   	5.04277   	3.29791   	4.9669    	4.96734   	5.01449   
5.850000	261.391   	261.068   	260.759   	260.759   	5.07782   	3.31873   	4.99962   	4.99848   	5.04762   
5.875000	263.172   	262.852   	262.553   	262.553   	5.11286   	3.33955   	5.03234   	5.02961   	5.08076   
5.900000	264.953   	264.637   	264.346   	264.346   	5.14791   	3.36037   	5.06506   	5.06075   	5.11389   
5.925000	266.733   	266.421   	266.139   	266.139   	5.18296   	3.3812    	5.09778   	5.09188   	5.14702   
5.950000	268.514   	268.206   	267.932   	267.932   	5.21801   	3.40202   	5.1305    	5.12302   	5.18015   
5.975000	270.294   	269.991   	269.725   	269.725   	5.25305   	3.42284   	5.16322   	5.15415   	5.21328   
6.000000	272.075   	271.775   	271.518   	271.518   	5.2881    	3.44366   	5.19594   	5.18529   	5.24641   
6.025000	273.956   	273.661   	273.415   	273.415   	5.32518   	3.46546   	5.23038   	5.21786   	5.2813    
6.050000	275.838   	275.547   	275.312   	275.312   	5.36226   	3.48725   	5.26483   	5.25042   	5.31618   
6.075000	277.72    	277.432   	277.209   	277.209   	5.39934   	3.50905   	5.29927   	5.28299   	5.35106   
6.100000	279.601   	279.318   	279.106   	279.106   	5.43642   	3.53084   	5.33372   	5.31556   	5.38594   
6.125000	281.483   	281.204   	281.003   	281.003   	5.4735    	3.55264   	5.36816   	5.34813   	5.42083   
6.150000	283.365   	283.09    	282.9     	282.9     	5.51058   	3.57443   	5.40261   	5.3807    	5.45571   
6.175000	285.246   	284.975   	284.797   	284.797   	5.54766   	3.59623   	5.43705   	5.41327   	5.49059   
6.200000	287.128   	286.861   	286.694   	286.694   	5.58474   	3.61802   	5.4715    	5.44583   	5.52548   
6.225000	289.01    	288.747   	288.591   	288.591   	5.62181   	3.63982   	5.50594   	5.4784    	5.56036   
6.250000	290.892   	290.633   	290.488   	290.488   	5.65889   	3.66161   	5.54039   	5.51097   	5.59524   
6.275000	292.773   	292.518   	292.385   	292.385   	5.69597   	3.6834    	5.57483   	5.54354   	5.63012   
6.300000	294.655   	294.404   	294.282   	294.282   	5.73305   	3.7052    	5.60928   	5.57611   	5.66501   
6.325000	296.537   	296.29    	296.179   	296.179   	5.77013   	3.72699   	5.64372   	5.60867   	5.69989   
6.350000	298.418   	298.176   	298.075   	298.075   	5.80721   	3.74879   	5.67817   	5.64124   	5.73477   
6.375000	300.3     	300.061   	299.972   	299.972   	5.84429   	3.77058   	5.71261   	5.67381   	5.76966   
6.400000	302.182   	301.947   	301.869   	301.869   	5.88137   	3.79238   	5.74706   	5.70638   	5.80454   
6.425000	304.063   	303.833   	303.766   	303.766   	5.91845   	3.81417   	5.7815    	5.73895   	5.83942   
6.450000	305.945   	305.719   	305.663   	305.663   	5.95553   	3.83597   	5.81595   	5.77152   	5.8743    
6.475000	307.827   	307.604   	307.56    	307.56    	5.99261   	3.85776   	5.85039   	5.80408   	5.90919   
6.500000	309.708   	309.49    	309.457   	309.457   	6.02969   	3.87956   	5.88483   	5.83665   	5.94407   
6.525000	311.69    	311.475   	311.456   	311.456   	6.06876   	3.9023    	5.92095   	5.8706    	5.98066   
6.550000	313.671   	313.46    	313.455   	313.455   	6.10783   	3.92504   	5.95706   	5.90454   	6.01726   
6.575000	315.652   	315.444   	315.453   	315.453   	6.1469    	3.94778   	5.99317   	5.93848   	6.05385   
6.600000	317.633   	317.429   	317.452   	317.452   	6.18597   	3.97052   	6.02929   	5.97242   	6.09045   
6.625000	319.615   	319.414   	319.451   	319.451   	6.22504   	3.99326   	6.0654    	6.00637   	6.12704   
6.650000	321.596   	321.399   	321.45    	321.45    	6.26411   	4.016     	6.10151   	6.04031   	6.16363   
6.675000	323.577   	323.383   	323.448   	323.448   	6.30318   	4.03874   	6.13763   	6.07425   	6.20023   
6.700000	325.558   	325.368   	325.447   	325.447   	6.34225   	4.06148   	6.17374   	6.1082    	6.23682   
6.725000	327.539   	327.353   	327.446   	327.446   	6.38132   	4.08423   	6.20985   	6.14214   	6.27341   
6.750000	329.521   	329.338   	329.445   	329.445   	6.42039   	4.10697   	6.24596   	6.17608   	6.31001   
6.775000	331.502   	331.322   	331.443   	331.443   	6.45946   	4.12971   	6.28208   	6.21003   	6.3466    
6.800000	333.483   	333.307   	333.442   	333.442   	6.49853   	4.15245   	6.31819   	6.24397   	6.3832    
6.825000	335.464   	335.292   	335.441   	335.441   	6.53759   	4.17519   	6.3543    	6.27791   	6.41979   
6.850000	337.445   	337.277   	337.439   	337.439   	6.57666   	4.19793   	6.39042   	6.31186   	6.45638   
6.875000	339.427   	339.261   	339.438   	339.438   	6.61573   	4.22067   	6.42653   	6.3458    	6.49298   
6.900000	341.408   	341.246   	341.437   	341.437   	6.6548    	4.24341   	6.46264   	6.37974   	6.52957   
6.925000	343.389   	343.231   	343.436   	343.436   	6.69387   	4.26615   	6.49876   	6.41369   	6.56616   
6.950000	345.37    	345.216   	345.434   	345.434   	6.73294   	4.2889    	6.53487   	6.44763   	6.60276   
6.975000	347.352   	347.2     	347.433   	347.433   	6.77201   	4.31164   	6.57098   	6.48157   	6.63935   
7.000000	349.333   	349.185   	349.432   	349.432   	6.81108   	4.33438   	6.6071    	6.51551   	6.67595   
7.025000	351.412   	351.267   	351.531   	351.531   	6.85211   	4.35804   	6.64486   	6.5508    	6.7142    
7.050000	353.491   	353.349   	353.629   	353.629   	6.89313   	4.38171   	6.68262   	6.58609   	6.75245   
7.075000	355.57    	355.431   	355.728   	355.728   	6.93415   	4.40537   	6.72039   	6.62138   	6.79071   
